organisation_number,primary_sdg,primary_sdg_title,secondary_sdgs,focus_summary,sdg_confidence,overseas_engagement,engagement_confidence,tag_model
5003733,3,Good Health and Well-being,4,Supports cancer treatment and education in Uganda.,high,funds_partners_abroad,high,claude-haiku-4-5
5003741,16,"Peace, Justice and Strong Institutions",,Advances Catholic Marian and Eucharistic devotion through events.,low,uk_fundraising_only,low,claude-haiku-4-5
5003752,3,Good Health and Well-being,10; 4,Provides surgery and equipment to disabled children in DR Congo.,high,operates_directly_abroad,high,claude-haiku-4-5
5003826,16,"Peace, Justice and Strong Institutions",,Parish church promoting Christian mission.,low,uk_fundraising_only,low,claude-haiku-4-5
5003830,16,"Peace, Justice and Strong Institutions",4,Provides ethical leadership training to government and police officials.,high,operates_directly_abroad,high,claude-haiku-4-5
5003857,1,No Poverty,3; 15,"Large-scale development projects addressing poverty, disasters, health globally.",medium,operates_directly_abroad,high,claude-haiku-4-5
5003929,1,No Poverty,4; 8,"Provides education, welfare, and shelter to disadvantaged children in Nepal.",high,operates_directly_abroad,high,claude-haiku-4-5
5003933,1,No Poverty,3; 4,"Provides education, healthcare, and support to reduce poverty globally.",high,operates_directly_abroad,high,claude-haiku-4-5
5003976,1,No Poverty,4; 6,"Provides children's care, livelihood grants, education in South Asia.",high,operates_directly_abroad,high,claude-haiku-4-5
5004012,4,Quality Education,1; 8,Provides agricultural training and education to youth in Africa.,high,operates_directly_abroad,high,claude-haiku-4-5
5004021,16,"Peace, Justice and Strong Institutions",4,Baptist church advancing Christian faith and community engagement.,low,uk_fundraising_only,low,claude-haiku-4-5
5004058,1,No Poverty,,Provides humanitarian aid to relieve poverty in India through partners.,high,funds_partners_abroad,high,claude-haiku-4-5
5004061,3,Good Health and Well-being,16,Church supporting dentistry and health services in Uganda.,medium,funds_partners_abroad,medium,claude-haiku-4-5
5004115,4,Quality Education,8,Teaching academy for bespoke tailoring skills and apprenticeships.,high,uk_fundraising_only,high,claude-haiku-4-5
5004116,3,Good Health and Well-being,17,Campaigns against headache disorders with WHO to reduce global burden.,high,operates_directly_abroad,medium,claude-haiku-4-5
5004132,1,No Poverty,3,Church advancing Christian faith and supporting vulnerable communities.,low,uk_fundraising_only,low,claude-haiku-4-5
5004170,16,"Peace, Justice and Strong Institutions",4,Baptist church advancing Christian faith across UK and worldwide.,low,uk_fundraising_only,low,claude-haiku-4-5
5004234,4,Quality Education,16,Islamic education centre training educators and producing Islamic educational resources.,high,uk_fundraising_only,medium,claude-haiku-4-5
5004339,4,Quality Education,8,Provides education access and employment support to students.,high,uk_fundraising_only,high,claude-haiku-4-5
5004346,4,Quality Education,,Funds partner organisation providing education in Kenya.,high,funds_partners_abroad,high,claude-haiku-4-5
5004352,1,No Poverty,10,Supports Keralan community in UK and runs poverty relief projects in Kerala.,high,operates_directly_abroad,medium,claude-haiku-4-5
5004401,4,Quality Education,1; 3,"Runs education, health, and nursery programmes for poor children in Ecuador.",high,operates_directly_abroad,high,claude-haiku-4-5
5004403,10,Reduced Inequalities,3,Promotes disabled access to football matches and sports across Europe.,high,operates_directly_abroad,high,claude-haiku-4-5
5004408,1,No Poverty,16,Jewish charitable trust providing poverty relief and religious education.,medium,uk_fundraising_only,medium,claude-haiku-4-5
5004433,4,Quality Education,16,Funds Jewish religious educational institution in Jerusalem.,medium,funds_partners_abroad,high,claude-haiku-4-5
5004457,16,"Peace, Justice and Strong Institutions",4,Baptist church advancing Christian faith with international mission work.,low,operates_directly_abroad,medium,claude-haiku-4-5
5004604,4,Quality Education,1; 3,"Supports education, livelihoods, and health through partnerships with community organisations.",high,funds_partners_abroad,high,claude-haiku-4-5
5004605,3,Good Health and Well-being,4,Runs hospital in Bangladesh providing cancer treatment and healthcare.,high,operates_directly_abroad,high,claude-haiku-4-5
5004619,1,No Poverty,10; 5,Funds charitable projects in poor countries supporting marginalised groups.,high,funds_partners_abroad,high,claude-haiku-4-5
5004620,4,Quality Education,1; 15,Runs nursery school and income-generating projects in Nairobi slum.,high,operates_directly_abroad,high,claude-haiku-4-5
5004638,4,Quality Education,10,Supports refugee communities and provides education in Africa.,medium,operates_directly_abroad,medium,claude-haiku-4-5
5004730,1,No Poverty,10,Provides grants and support to relieve poverty in Africa.,high,funds_partners_abroad,high,claude-haiku-4-5
5004743,16,"Peace, Justice and Strong Institutions",3,Parish church with community services and mission work abroad.,low,operates_directly_abroad,low,claude-haiku-4-5
5004747,4,Quality Education,11,Advances public education through archaeological research and fieldwork.,high,operates_directly_abroad,high,claude-haiku-4-5
5004752,16,"Peace, Justice and Strong Institutions",,Church in Wales providing worship and pastoral care.,low,uk_fundraising_only,high,claude-haiku-4-5
5004787,3,Good Health and Well-being,8,Promotes efficiency and welfare of UK Armed Forces personnel.,medium,uk_fundraising_only,high,claude-haiku-4-5
5004794,16,"Peace, Justice and Strong Institutions",1,Parish church with fundraising for unspecified overseas charitable causes.,low,uk_fundraising_only,medium,claude-haiku-4-5
5004833,1,No Poverty,4,Alleviates poverty through grants for religious education.,medium,uk_fundraising_only,high,claude-haiku-4-5
5004877,3,Good Health and Well-being,4; 10,"Music programmes supporting war-affected refugees across UK, Sierra Leone and Bosnia.",high,operates_directly_abroad,high,claude-haiku-4-5
5004878,16,"Peace, Justice and Strong Institutions",1; 4,"Church providing religious teaching, education, and poverty relief.",low,uk_fundraising_only,low,claude-haiku-4-5
5004933,4,Quality Education,1; 8,Funds education and career guidance in Mumbai and Delhi slums.,high,funds_partners_abroad,high,claude-haiku-4-5
5004949,4,Quality Education,1; 3,"Supports education, health and social welfare in rural Jamaica.",high,operates_directly_abroad,medium,claude-haiku-4-5
5004979,16,"Peace, Justice and Strong Institutions",4,Parish church with pastoral care and world mission work.,low,operates_directly_abroad,low,claude-haiku-4-5
5004998,4,Quality Education,5; 8,"Academy providing education for Muslim girls, women and young people.",high,operates_directly_abroad,medium,claude-haiku-4-5
5005042,16,"Peace, Justice and Strong Institutions",8; 1,Combats modern slavery and supports trafficking victims in Bangladesh and Romania.,high,operates_directly_abroad,high,claude-haiku-4-5
5005064,4,Quality Education,1; 3,Provides education supplies and rehabilitation in Tanzania and Uganda.,high,operates_directly_abroad,high,claude-haiku-4-5
5005161,3,Good Health and Well-being,4,Researches and educates on spine tumor surgery and treatment.,high,uk_fundraising_only,high,claude-haiku-4-5
5005170,15,Life on Land,1; 13,Protects rainforests and promotes sustainable development through partnerships.,high,funds_partners_abroad,high,claude-haiku-4-5
5005193,4,Quality Education,1,Runs free nursery school in The Gambia to lift children from poverty.,high,operates_directly_abroad,high,claude-haiku-4-5
5005198,16,"Peace, Justice and Strong Institutions",1; 3,Christian ministry providing services and humanitarian aid worldwide.,low,operates_directly_abroad,low,claude-haiku-4-5
5005252,15,Life on Land,4,Provides veterinary care and animal welfare services in Sri Lanka.,high,operates_directly_abroad,high,claude-haiku-4-5
5005306,3,Good Health and Well-being,,Contributes medical facilities and equipment to developing countries.,high,funds_partners_abroad,high,claude-haiku-4-5
5005352,4,Quality Education,17,Runs educational volunteer exchange programme between UK and Brazil.,high,operates_directly_abroad,high,claude-haiku-4-5
5005354,1,No Poverty,3; 4,Relieves poverty through healthcare and education in Kenya.,high,funds_partners_abroad,high,claude-haiku-4-5
5005360,16,"Peace, Justice and Strong Institutions",,Parish church providing religious services.,low,uk_fundraising_only,high,claude-haiku-4-5
5005403,4,Quality Education,1; 9,Improves education through technology centres in East African schools.,high,operates_directly_abroad,high,claude-haiku-4-5
5005413,16,"Peace, Justice and Strong Institutions",4,Islamic centre advancing religious education and community activities.,medium,uk_fundraising_only,high,claude-haiku-4-5
5005473,1,No Poverty,3; 4,"Provides medical aid, education, and poverty relief.",medium,uk_fundraising_only,low,claude-haiku-4-5
5005474,16,"Peace, Justice and Strong Institutions",,Parish church providing religious services.,low,uk_fundraising_only,high,claude-haiku-4-5
5005542,9,"Industry, Innovation and Infrastructure",4,Develops and disseminates international chemical structure standards.,high,operates_directly_abroad,medium,claude-haiku-4-5
5005550,4,Quality Education,1,Provides educational scholarships and poverty relief worldwide.,high,funds_partners_abroad,high,claude-haiku-4-5
5005564,4,Quality Education,3; 1,Provides education and healthcare to children in Zambia.,high,operates_directly_abroad,high,claude-haiku-4-5
5005586,16,"Peace, Justice and Strong Institutions",4; 3,"Christian organization providing education, healthcare and community services.",medium,operates_directly_abroad,medium,claude-haiku-4-5
5005621,16,"Peace, Justice and Strong Institutions",1; 3,Parish church with pastoral care and community support.,low,uk_fundraising_only,high,claude-haiku-4-5
5005622,4,Quality Education,16,Funds Jewish educational institution in France and Monaco.,high,funds_partners_abroad,high,claude-haiku-4-5
5005638,6,Clean Water and Sanitation,1; 3,"Supports water and sanitation projects in Maasai communities, Tanzania.",high,funds_partners_abroad,high,claude-haiku-4-5
5005679,4,Quality Education,10,Provides arts education and literacy support to Somali communities.,high,uk_fundraising_only,high,claude-haiku-4-5
5005680,16,"Peace, Justice and Strong Institutions",4; 1,Pentecostal church providing education and support to mission fields.,medium,funds_partners_abroad,low,claude-haiku-4-5
5005697,16,"Peace, Justice and Strong Institutions",4; 3,Baptist church advancing Christian faith and supporting community welfare.,low,uk_fundraising_only,low,claude-haiku-4-5
5005718,16,"Peace, Justice and Strong Institutions",4; 1,Christian organization providing diverse services from education to poverty relief.,low,uk_fundraising_only,low,claude-haiku-4-5
5005725,16,"Peace, Justice and Strong Institutions",17,Promotes Christian faith and supports overseas charities.,medium,uk_fundraising_only,low,claude-haiku-4-5
5005815,1,No Poverty,4; 3,Funds education and healthcare services in Pakistan.,high,funds_partners_abroad,high,claude-haiku-4-5
5005832,16,"Peace, Justice and Strong Institutions",,Baptist church advancing Christian faith through worship.,low,uk_fundraising_only,low,claude-haiku-4-5
5005896,16,"Peace, Justice and Strong Institutions",1,Baptist church advancing Christian faith and relieving poverty.,medium,uk_fundraising_only,medium,claude-haiku-4-5
5005938,16,"Peace, Justice and Strong Institutions",17,Anglican church supporting overseas mission partners and local community.,medium,funds_partners_abroad,medium,claude-haiku-4-5
5005943,1,No Poverty,16; 4,Provides community services and relieves poverty in UK and Ghana.,high,operates_directly_abroad,high,claude-haiku-4-5
5005968,17,Partnerships for the Goals,1; 16,Strengthens capacity of humanitarian organisations globally.,high,funds_partners_abroad,high,claude-haiku-4-5
5006080,3,Good Health and Well-being,1,Aims to build a hospital for rural poor in Bangladesh.,medium,operates_directly_abroad,medium,claude-haiku-4-5
5006097,16,"Peace, Justice and Strong Institutions",4,Baptist church providing Christian worship and religious education.,low,uk_fundraising_only,low,claude-haiku-4-5
5006168,4,Quality Education,8; 1,Provides vocational training and business skills in Rwanda.,high,operates_directly_abroad,high,claude-haiku-4-5
5006195,15,Life on Land,10,Rescues and rehomes abused animals in Croatia and Bosnia.,high,operates_directly_abroad,high,claude-haiku-4-5
5006201,1,No Poverty,16; 4,Community development and regeneration in Bristol area.,high,uk_fundraising_only,high,claude-haiku-4-5
5006204,4,Quality Education,8; 10,Develops skills and capabilities for community participation.,high,uk_fundraising_only,high,claude-haiku-4-5
5006209,16,"Peace, Justice and Strong Institutions",,Baptist church providing Christian religious activities.,low,uk_fundraising_only,low,claude-haiku-4-5
5006216,15,Life on Land,8; 10,Protects endangered bears and promotes sustainable livelihoods.,high,operates_directly_abroad,high,claude-haiku-4-5
5006265,4,Quality Education,1; 3,Builds and supports schools in Northern Uganda.,high,operates_directly_abroad,high,claude-haiku-4-5
5006267,16,"Peace, Justice and Strong Institutions",,Baptist church providing Christian worship and community support.,low,uk_fundraising_only,low,claude-haiku-4-5
5006272,3,Good Health and Well-being,1; 15,Provides medical services and environmental education in Himalayan India.,high,operates_directly_abroad,high,claude-haiku-4-5
5006280,3,Good Health and Well-being,16; 1,Supports bereaved families and provides Islamic services.,high,funds_partners_abroad,medium,claude-haiku-4-5
5006293,4,Quality Education,1; 3,Funds orphanage and education for abandoned children in India.,high,funds_partners_abroad,high,claude-haiku-4-5
5006336,10,Reduced Inequalities,4; 1,Supports marginalised individuals through education in Sri Lanka.,high,operates_directly_abroad,high,claude-haiku-4-5
5006360,10,Reduced Inequalities,1; 16,Empowers African migrants and supports sustainable development.,high,operates_directly_abroad,high,claude-haiku-4-5
5006407,16,"Peace, Justice and Strong Institutions",4,Baptist church advancing reformed Christian faith and education.,medium,uk_fundraising_only,low,claude-haiku-4-5
5006466,15,Life on Land,1; 12,Promotes permaculture and sustainable agriculture in Ethiopia.,high,operates_directly_abroad,high,claude-haiku-4-5
5006550,3,Good Health and Well-being,4; 16,Provides medical treatment for children with limb deformities.,high,operates_directly_abroad,high,claude-haiku-4-5
5006574,3,Good Health and Well-being,17,Promotes collaboration to address chronic disease prevention globally.,high,funds_partners_abroad,medium,claude-haiku-4-5
5006623,16,"Peace, Justice and Strong Institutions",1; 4,Christian fellowship advancing faith and supporting those in need.,medium,uk_fundraising_only,medium,claude-haiku-4-5
5006629,9,"Industry, Innovation and Infrastructure",1; 4,Facilitates engineering projects in developing countries.,high,operates_directly_abroad,high,claude-haiku-4-5
5006641,3,Good Health and Well-being,1; 16,Provides palliative care and spiritual support in India.,high,operates_directly_abroad,high,claude-haiku-4-5
5006677,4,Quality Education,1; 8,Funds education and training for young people in Tanzania.,high,funds_partners_abroad,high,claude-haiku-4-5
5006697,1,No Poverty,3; 8,Provides grants and capacity building for NGOs in developing world.,high,funds_partners_abroad,high,claude-haiku-4-5
5006698,3,Good Health and Well-being,4,Provides health facilities and support services for children.,high,uk_fundraising_only,high,claude-haiku-4-5
5006828,4,Quality Education,1,Provides education and recreational activities in Malawi.,high,operates_directly_abroad,high,claude-haiku-4-5
5006829,15,Life on Land,4,Conserves critically endangered saiga antelope species.,high,operates_directly_abroad,high,claude-haiku-4-5
5006835,16,"Peace, Justice and Strong Institutions",17,Methodist district coordinating circuits and church ministries.,medium,uk_fundraising_only,high,claude-haiku-4-5
5006840,16,"Peace, Justice and Strong Institutions",,Teaches Christian religion through prayer meetings and lectures.,low,uk_fundraising_only,high,claude-haiku-4-5
5006848,3,Good Health and Well-being,1,Raises funds to provide healthcare and equipment in Ghana.,high,funds_partners_abroad,high,claude-haiku-4-5
5006850,1,No Poverty,4; 3,Supports orphanages in Nigeria and Africa with resources.,high,operates_directly_abroad,high,claude-haiku-4-5
5006857,4,Quality Education,1,"Operates schools in Horn of Africa, primarily Somalia.",high,operates_directly_abroad,high,claude-haiku-4-5
5006859,3,Good Health and Well-being,4; 16,Raises funds and advocates for palliative care in Africa.,high,funds_partners_abroad,high,claude-haiku-4-5
5006893,4,Quality Education,16; 1,"Provides Islamic and mainstream education, sponsors overseas orphans.",high,funds_partners_abroad,high,claude-haiku-4-5
5006899,4,Quality Education,1; 3,Provides education clubs in UK and schools in South Asia.,high,operates_directly_abroad,high,claude-haiku-4-5
5006955,1,No Poverty,4; 3,Provides training and education to relieve poverty in East Africa.,high,operates_directly_abroad,high,claude-haiku-4-5
5006961,4,Quality Education,1; 10,Connects students with donors for secondary education scholarships.,high,funds_partners_abroad,high,claude-haiku-4-5
5006970,1,No Poverty,16; 3,Provides support to families in Israel affected by terror.,high,funds_partners_abroad,medium,claude-haiku-4-5
5006982,5,Gender Equality,10; 1,Supports vulnerable women and works against gender-based violence.,high,operates_directly_abroad,high,claude-haiku-4-5
5006993,4,Quality Education,1; 8,Provides education and vocational training in UK and Sierra Leone.,high,operates_directly_abroad,high,claude-haiku-4-5
5007026,1,No Poverty,16,Provides relief of poverty and support for Jewish communities.,high,funds_partners_abroad,medium,claude-haiku-4-5
5007048,3,Good Health and Well-being,1,Raises funds to support medical services and welfare in Pakistan.,high,funds_partners_abroad,high,claude-haiku-4-5
5007086,5,Gender Equality,3; 4,"Advances East African women's rights, health and education.",high,operates_directly_abroad,high,claude-haiku-4-5
5007089,4,Quality Education,6; 1,Supports East African communities through education and water access.,high,operates_directly_abroad,high,claude-haiku-4-5
5007107,4,Quality Education,1,Relieves poverty and advances education in Bangladesh.,high,operates_directly_abroad,high,claude-haiku-4-5
5007141,3,Good Health and Well-being,16; 1,Promotes spiritual health and funds healthcare projects worldwide.,high,funds_partners_abroad,medium,claude-haiku-4-5
5007184,4,Quality Education,5; 8,Funds education and vocational training for low-income children and women in India.,high,funds_partners_abroad,high,claude-haiku-4-5
5007186,15,Life on Land,4,Connects volunteers to endangered animal conservation projects worldwide.,high,operates_directly_abroad,high,claude-haiku-4-5
5007204,1,No Poverty,3; 8,Raises funds for poverty relief and HIV support in Southern Africa.,high,funds_partners_abroad,high,claude-haiku-4-5
5007215,1,No Poverty,4,Provides food and clothing assistance to poor families.,high,uk_fundraising_only,low,claude-haiku-4-5
5007228,16,"Peace, Justice and Strong Institutions",17,Connects Christians through skiing and fundraises for charities globally.,low,uk_fundraising_only,high,claude-haiku-4-5
5007256,16,"Peace, Justice and Strong Institutions",1,Advances Christian faith and provides poverty relief and addiction support.,low,uk_fundraising_only,low,claude-haiku-4-5
5007266,1,No Poverty,3; 4,"Provides poverty relief, health support, and education for children in Eastern Europe.",medium,funds_partners_abroad,high,claude-haiku-4-5
5007278,16,"Peace, Justice and Strong Institutions",1,"Christian ministry providing education, healthcare, poverty relief, and community support.",low,uk_fundraising_only,low,claude-haiku-4-5
5007294,16,"Peace, Justice and Strong Institutions",4; 5,"Promotes human rights, monitors abuse, and advocates for equality and religious harmony.",high,operates_directly_abroad,medium,claude-haiku-4-5
5007308,1,No Poverty,3; 4,"Provides grants for education, healthcare, and water projects in African wildlife areas.",high,funds_partners_abroad,high,claude-haiku-4-5
5007316,1,No Poverty,4; 5,Provides education and development support to empower young women in West Africa.,high,operates_directly_abroad,high,claude-haiku-4-5
5007325,4,Quality Education,17,Advances education and research in wisdom traditions and related subjects.,medium,uk_fundraising_only,high,claude-haiku-4-5
5007326,1,No Poverty,3; 4,"Provides food, shelter, medical care, and education to orphans in Africa.",high,operates_directly_abroad,high,claude-haiku-4-5
5007344,10,Reduced Inequalities,4; 8,Supports refugees and African minorities in UK through education and employment services.,high,uk_fundraising_only,high,claude-haiku-4-5
5007389,1,No Poverty,11,Relieves poverty and provides community services; promotes Bangladeshi cultural activities.,high,funds_partners_abroad,medium,claude-haiku-4-5
5007443,3,Good Health and Well-being,4,Partners with hospitals in Nepal to provide rural healthcare and professional training.,high,operates_directly_abroad,high,claude-haiku-4-5
5007463,4,Quality Education,1,Sponsors primary education for orphan children at schools in Sierra Leone.,high,funds_partners_abroad,high,claude-haiku-4-5
5007470,4,Quality Education,16,Provides vocational training and bible-based seminars through church ministry.,medium,uk_fundraising_only,high,claude-haiku-4-5
5007484,4,Quality Education,17,Provides web-based education in Jewish and Hebraic teachings and culture.,high,uk_fundraising_only,high,claude-haiku-4-5
5007495,1,No Poverty,3; 4,"Supports children in Bosnia and Herzegovina through poverty relief, healthcare, and education.",high,funds_partners_abroad,high,claude-haiku-4-5
5007499,4,Quality Education,1,Provides scholarships for secondary and higher education in Tanzania and Kenya.,high,funds_partners_abroad,high,claude-haiku-4-5
5007502,16,"Peace, Justice and Strong Institutions",4,Provides financial assistance for education of those pursuing religious vocations.,medium,uk_fundraising_only,high,claude-haiku-4-5
5007536,4,Quality Education,1; 2,Develops school infrastructure and promotes permaculture in Malawi.,high,operates_directly_abroad,high,claude-haiku-4-5
5007580,6,Clean Water and Sanitation,1; 3,Provides safe water and promotes health development in Ghana's Ashanti region.,high,operates_directly_abroad,high,claude-haiku-4-5
5007590,4,Quality Education,1; 3,Raises funds for education and development programs for youth in Cambodia.,high,funds_partners_abroad,high,claude-haiku-4-5
5007600,4,Quality Education,8; 1,Provides educational grants to support academic excellence for students in India.,high,funds_partners_abroad,high,claude-haiku-4-5
5007603,1,No Poverty,17,Provides humanitarian aid and develops NGO capacity in Afghanistan.,high,funds_partners_abroad,high,claude-haiku-4-5
5007605,4,Quality Education,1; 8,Provides vocational training and professional development to youth in Philippines and Lebanon.,high,funds_partners_abroad,high,claude-haiku-4-5
5007651,16,"Peace, Justice and Strong Institutions",4; 1,"Christian church providing worship, poverty relief, and community support services.",medium,uk_fundraising_only,high,claude-haiku-4-5
5007654,8,Decent Work and Economic Growth,1; 4,Provides vocational training and business support to young orphans in Liberia.,high,operates_directly_abroad,high,claude-haiku-4-5
5007685,16,"Peace, Justice and Strong Institutions",,"Advances Christian faith through worship, education, and literature distribution.",low,uk_fundraising_only,high,claude-haiku-4-5
5007686,16,"Peace, Justice and Strong Institutions",4,Provides educational grants for religious novitiate training in Swaminarayan tradition.,medium,funds_partners_abroad,high,claude-haiku-4-5
5007710,9,"Industry, Innovation and Infrastructure",4,Conducts genomics research and provides training in biotechnology.,high,uk_fundraising_only,high,claude-haiku-4-5
5007725,1,No Poverty,4; 10,"Provides poverty relief, education support, and disability assistance in UK and Hong Kong.",high,funds_partners_abroad,medium,claude-haiku-4-5
5007741,1,No Poverty,8; 10,Provides training and mentoring to disadvantaged communities in UK and overseas.,high,operates_directly_abroad,high,claude-haiku-4-5
5007768,1,No Poverty,6; 4,"Provides water, food, medical care, and education to communities in the Global South.",high,operates_directly_abroad,high,claude-haiku-4-5
5007782,1,No Poverty,3; 8,Provides education and income support to people affected by HIV in Kenya and India.,high,operates_directly_abroad,high,claude-haiku-4-5
5007788,1,No Poverty,3; 4,"Provides poverty relief, healthcare, and education for orphans in Sri Lanka.",high,funds_partners_abroad,medium,claude-haiku-4-5
5007796,3,Good Health and Well-being,4; 10,Promotes sports and mentoring for youth wellbeing in London and nationally.,high,uk_fundraising_only,high,claude-haiku-4-5
5007809,15,Life on Land,1; 2,Supports tree-based poverty reduction and environmental conservation in African drylands.,high,operates_directly_abroad,high,claude-haiku-4-5
5007813,16,"Peace, Justice and Strong Institutions",4,Baptist church advancing Christian faith and supporting youth education and community services.,medium,uk_fundraising_only,low,claude-haiku-4-5
5007864,3,Good Health and Well-being,1; 2,"Provides food bank support, international relief, and disability assistance.",high,funds_partners_abroad,medium,claude-haiku-4-5
5007905,1,No Poverty,4,Provides grants for poverty relief of children in Eastern Europe.,high,funds_partners_abroad,high,claude-haiku-4-5
5007914,1,No Poverty,2; 11,"Provides housing and farming projects for homeless families in Ulaanbaatar, Mongolia.",high,operates_directly_abroad,high,claude-haiku-4-5
5007928,4,Quality Education,,Advances public understanding and appreciation of music through concerts and workshops.,high,uk_fundraising_only,high,claude-haiku-4-5
5007931,16,"Peace, Justice and Strong Institutions",4; 1,"Christian center providing worship, poverty relief, and education in UK and internationally.",medium,uk_fundraising_only,low,claude-haiku-4-5
5007938,4,Quality Education,1,"Sponsors secondary education for orphans in Kayunga, Uganda.",high,funds_partners_abroad,high,claude-haiku-4-5
5007953,16,"Peace, Justice and Strong Institutions",1; 4,"Christian church providing worship, support for vulnerable families, and music education.",medium,uk_fundraising_only,high,claude-haiku-4-5
5007955,1,No Poverty,4; 3,"Provides rehabilitation, education, and health support to Somali communities in East Africa.",high,operates_directly_abroad,high,claude-haiku-4-5
5007961,1,No Poverty,6; 4,"Provides grants for water, education, and community projects in Kenya.",high,funds_partners_abroad,high,claude-haiku-4-5
5007974,3,Good Health and Well-being,4,Promotes research and training in lymphoedema and related medical conditions.,high,uk_fundraising_only,medium,claude-haiku-4-5
5007977,4,Quality Education,1,Provides education scholarships to children in poverty worldwide.,high,funds_partners_abroad,medium,claude-haiku-4-5
5007988,16,"Peace, Justice and Strong Institutions",4,Advances orthodox Jewish education and religious activities in Jerusalem.,medium,funds_partners_abroad,high,claude-haiku-4-5
5007989,16,"Peace, Justice and Strong Institutions",4,Baptist church advancing Christian faith and education internationally.,medium,uk_fundraising_only,low,claude-haiku-4-5
5007997,8,Decent Work and Economic Growth,5; 1,Provides microfinance and business training to empower women in Togo.,high,operates_directly_abroad,high,claude-haiku-4-5
5008001,16,"Peace, Justice and Strong Institutions",1; 4,"Christian church providing worship, education, community support, and poverty relief.",medium,uk_fundraising_only,high,claude-haiku-4-5
5008004,16,"Peace, Justice and Strong Institutions",1; 10,Advances Christian gospel and supports marginalized communities with mentoring and leadership.,medium,uk_fundraising_only,low,claude-haiku-4-5
5008017,1,No Poverty,4; 11,Provides shelter and education to orphaned children in Kenya and worldwide.,high,operates_directly_abroad,high,claude-haiku-4-5
5008060,1,No Poverty,4,Community education and poverty relief in Birmingham and surrounding area.,low,uk_fundraising_only,medium,claude-haiku-4-5
5008069,4,Quality Education,,Advances public education in contemporary art and music through performances.,high,uk_fundraising_only,high,claude-haiku-4-5
5008153,1,No Poverty,2; 3,Provides emergency relief and community support to those suffering poverty and distress.,high,funds_partners_abroad,medium,claude-haiku-4-5
5008174,4,Quality Education,,Advances public education in historical musical performance through concerts.,high,uk_fundraising_only,high,claude-haiku-4-5
5008191,10,Reduced Inequalities,4; 3,"Supports refugees with education, health, and cultural integration services.",high,uk_fundraising_only,high,claude-haiku-4-5
5008193,3,Good Health and Well-being,4,Provides emotional wellbeing and staff training support to orphaned children in Kenya.,high,operates_directly_abroad,high,claude-haiku-4-5
5008194,1,No Poverty,4,Provides education grants and support to underprivileged children across Africa.,medium,funds_partners_abroad,medium,claude-haiku-4-5
5008200,3,Good Health and Well-being,1,Rehabilitates Masanga Hospital in Sierra Leone with infrastructure and training.,high,operates_directly_abroad,high,claude-haiku-4-5
5008204,16,"Peace, Justice and Strong Institutions",3; 1,Church providing Christian teaching and relief services to those in hardship.,low,uk_fundraising_only,high,claude-haiku-4-5
5008226,1,No Poverty,16; 4,"Church ministry with orphanages, church planting, and poverty relief globally.",medium,operates_directly_abroad,medium,claude-haiku-4-5
5008229,1,No Poverty,4; 3,"Provides education, health, housing, and psychosocial support to orphaned children worldwide.",high,operates_directly_abroad,high,claude-haiku-4-5
5008240,1,No Poverty,4,Community centers with sports facilities and education programs in Cameroon and Mali.,high,operates_directly_abroad,high,claude-haiku-4-5
5008283,4,Quality Education,1; 3,"Advances education, health, and employment support in rural and urban Pakistan.",high,operates_directly_abroad,high,claude-haiku-4-5
5008292,16,"Peace, Justice and Strong Institutions",3; 4,Christian church with gospel teaching and relief services in UK and abroad.,low,uk_fundraising_only,low,claude-haiku-4-5
5008330,4,Quality Education,1,"Provides English language education to underprivileged communities in South Quito, Ecuador.",high,operates_directly_abroad,high,claude-haiku-4-5
5008343,3,Good Health and Well-being,1; 4,Supports disabled people and poor families in Pakistan through healthcare and vocational training.,high,operates_directly_abroad,high,claude-haiku-4-5
5008344,3,Good Health and Well-being,4,Uses soccer to educate youth in Africa on health challenges and wellbeing.,high,operates_directly_abroad,high,claude-haiku-4-5
5008360,1,No Poverty,3,"Provides financial and medical relief to elderly and vulnerable people in Karachi, Pakistan.",high,operates_directly_abroad,high,claude-haiku-4-5
5008373,15,Life on Land,17,Conserves and manages national parks and nature reserves in Côte d'Ivoire.,high,funds_partners_abroad,high,claude-haiku-4-5
5008377,17,Partnerships for the Goals,1,Advises UK donors on supporting effective poverty-relief initiatives in India.,high,funds_partners_abroad,high,claude-haiku-4-5
5008427,16,"Peace, Justice and Strong Institutions",1; 3,Church ministry with Christian teaching and relief services.,low,uk_fundraising_only,medium,claude-haiku-4-5
5008484,4,Quality Education,8; 1,Develops sustainable educational and community center in northern Malawi.,high,operates_directly_abroad,high,claude-haiku-4-5
5008508,4,Quality Education,1,Supports disadvantaged children in Nairobi through school fees and teacher training.,high,operates_directly_abroad,high,claude-haiku-4-5
5008515,1,No Poverty,4; 3,"Provides grants worldwide for poverty relief, education, healthcare, and WASH.",medium,funds_partners_abroad,medium,claude-haiku-4-5
5008521,3,Good Health and Well-being,4,Provides cleft palate and cleft lip surgery support and education in India.,high,operates_directly_abroad,high,claude-haiku-4-5
5008528,4,Quality Education,5; 1,"Supports girls' education at secondary school and hospital services in Saltpond, Ghana.",high,funds_partners_abroad,high,claude-haiku-4-5
5008560,4,Quality Education,8,Trains local coaches and teachers to improve education quality for millions of children.,high,operates_directly_abroad,high,claude-haiku-4-5
